AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18,AT19,AT20
0,6,4,3,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201
1,48,2,3,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201
3,12,4,6,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201
0,42,2,2,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201
0,24,3,0,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201
3,36,2,6,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201
3,24,2,2,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201
1,36,2,1,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201
3,12,2,3,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201
1,30,4,0,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201
1,12,2,0,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201
0,48,2,9,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201
1,12,2,3,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201
0,24,4,0,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201
0,15,2,0,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201
0,24,2,3,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201
3,24,4,3,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201
0,30,0,9,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201
1,24,2,1,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201
3,24,2,3,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201
3,9,4,0,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201
0,6,2,3,2647,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201
0,10,4,0,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202
1,12,4,1,1804,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201
3,10,4,2,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202
0,6,2,2,1374,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201
3,6,0,3,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201
2,12,1,3,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201
1,7,2,3,2415,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201
0,60,3,9,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201
1,18,2,9,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201
0,24,2,2,4020,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201
1,18,2,0,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201
3,12,4,9,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201
2,12,2,2,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201
1,45,4,3,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201
3,48,4,6,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201
2,18,2,3,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201
2,10,2,4,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
1,9,2,3,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201
3,30,2,3,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201
1,12,2,3,1158,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201
1,18,3,5,6204,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201
0,30,4,1,6187,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201
0,48,4,1,6143,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201
3,11,4,0,1393,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201
3,36,2,3,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201
0,6,2,1,1352,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201
3,11,4,0,7228,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201
3,12,2,3,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201
1,24,3,2,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201
1,27,3,1,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201
3,12,2,3,1262,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201
3,18,2,1,3378,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201
1,36,3,0,2225,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201
3,6,1,0,783,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201
1,12,2,3,6468,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201
3,36,4,3,9566,A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201
2,18,2,0,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201
0,36,4,2,6229,A61,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201
1,9,2,9,1391,A61,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201
1,15,4,3,1537,A65,A75,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201
1,36,0,9,1953,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201
1,48,0,9,14421,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201
3,24,2,3,3181,A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201
3,27,2,5,5190,A65,A75,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201
3,12,2,3,2171,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201
1,12,2,0,1007,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201
3,36,2,6,1819,A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201
3,36,2,3,2394,A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201
3,36,2,1,8133,A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201
3,7,4,3,730,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201
0,8,4,10,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201
1,42,4,9,5954,A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201
0,36,2,6,1977,A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201
0,12,4,1,1526,A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201
0,42,2,3,3965,A61,A72,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201
1,11,3,3,4771,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201
3,54,0,1,9436,A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201
1,30,2,2,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201
3,24,2,3,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201
3,15,2,3,1213,A63,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201
3,18,2,9,1568,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201
0,24,2,10,1755,A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201
0,10,2,3,2315,A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201
3,12,4,9,1412,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201
1,18,4,2,1295,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201
1,36,2,6,12612,A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201
0,18,2,0,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201
0,12,0,5,1108,A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201
3,12,4,3,618,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201
0,12,4,1,1409,A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201
3,12,4,3,797,A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201
2,24,4,2,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201
1,12,2,0,1318,A64,A75,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201
1,54,0,9,15945,A61,A72,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201
3,12,4,6,2012,A65,A74,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201
1,18,2,9,2622,A62,A73,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201
1,36,4,3,2337,A61,A75,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201
1,20,3,1,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201
3,24,2,0,1469,A62,A75,4,A94,A101,4,A121,41,A143,A151,1,A172,1,A191,A201
1,36,2,3,2323,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201
3,6,3,3,932,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201
1,9,4,2,1919,A61,A74,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201
3,12,2,1,2445,A65,A72,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201
1,24,4,10,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201
3,18,1,0,6458,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201
1,12,2,0,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201
0,24,2,2,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202
1,14,2,9,1410,A63,A75,1,A94,A101,2,A121,35,A143,A152,1,A173,1,A192,A201
1,6,3,9,1449,A62,A75,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201
2,15,2,6,392,A61,A72,4,A92,A101,4,A122,23,A143,A151,1,A173,1,A192,A201
1,18,2,0,6260,A61,A74,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201
3,36,4,0,7855,A61,A73,4,A92,A101,2,A121,25,A142,A152,2,A173,1,A192,A201
0,12,2,3,1680,A63,A75,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201
3,48,4,3,3578,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201
0,42,2,3,7174,A65,A74,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201
0,10,4,2,2132,A65,A72,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202
0,33,4,2,4281,A63,A73,1,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201
1,12,4,0,2366,A63,A74,3,A91,A101,3,A123,36,A143,A152,1,A174,1,A192,A201
0,21,2,3,1835,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201
3,24,4,1,3868,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201
3,12,2,2,1768,A61,A73,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201
2,10,4,0,781,A61,A75,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201
1,18,2,2,1924,A65,A72,4,A92,A101,3,A121,27,A143,A151,1,A173,1,A191,A201
0,12,4,0,2121,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201
0,12,2,3,701,A61,A73,4,A94,A101,2,A121,40,A143,A152,1,A172,1,A191,A201
1,12,2,5,639,A61,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201
1,12,4,1,1860,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201
0,12,4,0,3499,A61,A73,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201
1,48,2,0,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201
0,36,3,6,6887,A61,A73,4,A93,A101,3,A122,29,A142,A152,1,A173,1,A192,A201
3,15,2,2,2708,A61,A72,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201
3,18,2,2,1984,A61,A73,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201
3,60,2,3,10144,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201
3,12,4,3,1240,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201
3,27,3,1,8613,A64,A73,2,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201
1,12,2,3,766,A63,A73,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201
1,15,4,3,2728,A65,A74,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201
2,12,2,3,1881,A61,A73,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201
2,6,2,0,709,A64,A72,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202
1,36,2,3,4795,A61,A72,4,A92,A101,1,A124,30,A143,A152,1,A174,1,A192,A201
0,27,2,3,3416,A61,A73,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201
0,18,2,2,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201
3,21,4,2,2288,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201
1,48,1,9,3566,A62,A74,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201
0,6,4,0,860,A61,A75,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201
3,12,4,0,682,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201
0,36,4,2,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201
3,18,4,3,1582,A64,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201
3,6,2,3,1346,A62,A75,2,A93,A101,4,A124,42,A141,A153,1,A173,2,A192,A201
3,10,2,3,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202
2,36,2,3,5848,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201
1,24,4,1,7758,A64,A75,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201
1,24,3,9,6967,A62,A74,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201
0,12,2,2,1282,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201
0,9,4,5,1288,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202
0,12,1,8,339,A61,A75,4,A94,A101,1,A123,45,A141,A152,1,A172,1,A191,A201
1,24,2,0,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201
3,6,4,3,1898,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201
3,24,4,3,2872,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201
3,18,4,0,1055,A61,A72,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201
3,15,2,4,1262,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201
1,10,2,0,7308,A61,A71,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201
3,36,2,0,909,A63,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201
3,6,2,2,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201
0,18,2,2,1131,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201
1,11,2,2,1577,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201
3,24,2,2,3972,A61,A74,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201
1,24,4,9,1935,A61,A75,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201
0,15,0,0,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201
3,12,2,2,763,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201
1,24,3,2,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201
1,8,2,3,1414,A61,A73,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202
0,21,3,6,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201
3,30,1,1,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201
0,12,2,2,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201
0,6,4,3,338,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201
3,12,2,3,1963,A61,A74,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201
0,21,4,0,571,A61,A75,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201
3,36,3,9,9572,A61,A72,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201
1,36,3,9,4455,A61,A73,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201
0,21,1,0,1647,A65,A73,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201
3,24,4,2,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201
1,18,4,0,884,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201
3,15,4,3,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201
1,9,1,1,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201
1,16,4,0,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201
0,12,2,3,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201
1,18,0,2,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201
3,24,2,9,4591,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201
1,48,0,9,3844,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201
1,27,2,9,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201
3,6,2,3,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201
1,45,2,3,3031,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201
1,9,4,6,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201
3,6,4,3,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201
1,12,2,2,951,A62,A72,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201
1,24,2,1,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201
1,18,3,2,4297,A61,A75,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201
3,9,4,6,936,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201
0,12,2,0,1168,A61,A73,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201
3,27,3,9,5117,A61,A74,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201
0,12,2,8,902,A61,A74,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201
3,12,4,0,1495,A61,A75,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201
0,30,4,1,10623,A61,A75,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201
3,12,4,2,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201
1,12,4,4,1424,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201
0,24,2,9,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201
3,12,2,1,1413,A64,A74,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202
3,9,4,3,3074,A65,A73,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201
3,36,2,3,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201
0,27,0,9,5293,A61,A71,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201
2,30,3,9,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201
3,36,4,3,3342,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201
1,6,4,8,932,A65,A74,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201
0,18,0,9,3104,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201
2,36,2,3,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201
0,24,2,2,3021,A61,A73,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201
3,10,2,0,1364,A61,A73,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201
1,12,2,3,625,A61,A72,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201
0,12,2,6,1200,A65,A73,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201
3,12,2,3,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201
3,24,3,9,2978,A65,A73,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201
3,15,2,1,4657,A61,A73,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201
3,36,0,5,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201
1,48,2,3,10961,A64,A74,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201
0,12,2,2,7865,A61,A75,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201
3,9,2,3,1478,A61,A74,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201
0,24,2,2,3149,A61,A72,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201
2,36,2,3,4210,A61,A73,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201
3,9,2,0,2507,A63,A75,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201
3,12,2,3,2141,A62,A74,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201
1,18,2,3,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201
3,4,4,3,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201
0,24,2,3,1823,A61,A71,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201
1,6,2,0,14555,A65,A71,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201
1,21,2,9,2767,A62,A75,4,A91,A101,2,A123,61,A141,A151,2,A172,1,A191,A201
3,12,4,3,1291,A61,A73,4,A92,A101,2,A122,35,A143,A152,2,A173,1,A191,A201
0,30,2,3,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201
0,24,2,0,915,A65,A75,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201
3,6,2,3,1595,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201
0,48,0,1,4605,A61,A75,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201
3,12,4,9,1185,A61,A73,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201
3,12,1,8,3447,A63,A73,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201
3,24,2,9,1258,A61,A74,4,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201
3,12,4,3,717,A61,A75,4,A93,A101,4,A121,52,A143,A152,3,A173,1,A191,A201
3,6,0,0,1204,A62,A73,4,A93,A101,1,A124,35,A141,A151,1,A173,1,A191,A202
2,24,2,2,1925,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201
