AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18,AT19,AT20
3,18,2,3,433,A61,A71,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201
0,6,4,0,666,A64,A74,3,A92,A101,4,A121,39,A143,A152,2,A172,1,A192,A201
2,12,2,2,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201
1,30,2,0,2150,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201
3,24,3,2,4151,A62,A73,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201
1,9,2,2,2030,A65,A74,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201
1,60,3,3,7418,A65,A73,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201
3,24,4,3,2684,A61,A73,4,A93,A101,2,A121,35,A143,A152,2,A172,1,A191,A201
0,12,1,3,2149,A61,A73,4,A91,A101,1,A124,29,A143,A153,1,A173,1,A191,A201
3,15,2,1,3812,A62,A72,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201
3,11,4,3,1154,A62,A71,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201
0,12,2,2,1657,A61,A73,2,A93,A101,2,A121,27,A143,A152,1,A173,1,A191,A201
0,24,2,3,1603,A61,A75,4,A92,A101,4,A123,55,A143,A152,1,A173,1,A191,A201
0,18,4,0,5302,A61,A75,2,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201
3,12,4,6,2748,A61,A75,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201
3,10,4,0,1231,A61,A75,3,A93,A101,4,A121,32,A143,A152,2,A172,2,A191,A202
1,15,2,3,802,A61,A75,4,A93,A101,3,A123,37,A143,A152,1,A173,2,A191,A201
3,36,4,9,6304,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201
3,24,2,3,1533,A61,A72,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201
0,14,2,0,8978,A61,A75,1,A91,A101,4,A122,45,A143,A152,1,A174,1,A192,A202
3,24,2,3,999,A65,A75,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201
3,18,2,0,2662,A65,A74,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202
3,12,4,2,1402,A63,A74,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201
1,48,1,0,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201
1,48,2,3,3060,A61,A74,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201
0,30,2,5,11998,A61,A72,1,A91,A101,1,A124,34,A143,A152,1,A172,1,A192,A201
3,9,2,3,2697,A61,A73,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201
3,18,4,3,2404,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201
0,12,2,2,1262,A65,A75,2,A91,A101,4,A122,49,A143,A152,1,A172,1,A192,A201
3,6,2,2,4611,A61,A72,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201
3,24,2,3,1901,A62,A73,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201
3,15,4,1,3368,A64,A75,3,A93,A101,4,A124,23,A143,A151,2,A173,1,A192,A201
3,12,2,2,1574,A61,A73,4,A93,A101,2,A121,50,A143,A152,1,A173,1,A191,A201
2,18,1,3,1445,A65,A74,4,A93,A101,4,A123,49,A141,A152,1,A172,1,A191,A201
3,15,4,2,1520,A65,A75,4,A93,A101,4,A122,63,A143,A152,1,A173,1,A191,A201
1,24,4,0,3878,A62,A72,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
0,47,2,0,10722,A61,A72,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201
0,48,2,1,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201
1,48,3,10,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201
1,12,2,3,1092,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201
0,24,3,3,1024,A61,A72,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201
3,12,2,9,1076,A61,A73,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202
1,36,2,1,9398,A61,A72,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201
0,24,4,1,6419,A61,A75,2,A92,A101,4,A124,44,A143,A153,2,A174,2,A192,A201
2,42,4,1,4796,A61,A75,4,A93,A101,4,A124,56,A143,A153,1,A173,1,A191,A201
3,48,4,9,7629,A65,A75,4,A91,A101,2,A123,46,A141,A152,2,A174,2,A191,A201
1,48,2,2,9960,A61,A72,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201
3,12,2,1,4675,A65,A72,1,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201
3,10,2,0,1287,A65,A75,4,A93,A102,2,A122,45,A143,A152,1,A172,1,A191,A202
3,18,2,2,2515,A61,A73,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201
1,21,4,2,2745,A64,A74,3,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201
3,6,2,0,672,A61,A71,1,A92,A101,4,A121,54,A143,A152,1,A171,1,A192,A201
1,36,0,3,3804,A61,A73,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201
2,24,4,0,1344,A65,A74,4,A93,A101,2,A121,37,A141,A152,2,A172,2,A191,A201
0,10,4,0,1038,A61,A74,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201
3,48,4,0,10127,A63,A73,2,A93,A101,2,A124,44,A141,A153,1,A173,1,A191,A201
3,6,2,2,1543,A64,A73,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201
3,30,2,1,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201
0,12,2,3,727,A62,A72,4,A94,A101,3,A124,33,A143,A152,1,A172,1,A192,A201
1,8,2,2,1237,A61,A73,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201
1,9,2,0,276,A61,A73,4,A94,A101,4,A121,22,A143,A151,1,A172,1,A191,A201
1,48,2,10,5381,A65,A71,3,A93,A101,4,A124,40,A141,A153,1,A171,1,A192,A201
3,24,2,2,5511,A62,A73,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201
2,24,2,2,3749,A61,A72,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201
1,12,2,0,685,A61,A74,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201
2,4,2,0,1494,A65,A72,1,A93,A101,2,A121,29,A143,A152,1,A172,2,A191,A202
0,36,1,2,2746,A61,A75,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201
0,12,2,2,708,A61,A73,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201
1,24,2,2,4351,A65,A73,1,A92,A101,4,A122,48,A143,A152,1,A172,1,A192,A201
3,12,4,6,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201
0,15,3,2,3643,A61,A75,1,A92,A101,4,A122,27,A143,A152,2,A172,1,A191,A201
1,30,4,0,4249,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201
0,24,2,3,1938,A61,A72,4,A91,A101,3,A122,32,A143,A152,1,A173,1,A191,A201
0,24,2,1,2910,A61,A74,2,A93,A101,1,A124,34,A143,A153,1,A174,1,A192,A201
0,18,2,2,2659,A64,A73,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201
3,18,4,0,1028,A61,A73,4,A92,A101,3,A121,36,A143,A152,2,A173,1,A191,A201
0,8,4,0,3398,A61,A74,1,A93,A101,4,A121,39,A143,A152,2,A172,1,A191,A202
3,12,4,2,5801,A65,A75,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201
3,24,2,0,1525,A64,A74,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A192,A201
2,36,2,3,4473,A61,A75,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201
1,6,2,3,1068,A61,A75,4,A93,A101,4,A123,28,A143,A152,1,A173,2,A191,A201
0,24,4,1,6615,A61,A71,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201
3,18,4,6,1864,A62,A73,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201
1,60,2,0,7408,A62,A72,4,A92,A101,2,A122,24,A143,A152,1,A174,1,A191,A201
3,48,4,1,11590,A62,A73,2,A92,A101,4,A123,24,A141,A151,2,A172,1,A191,A201
0,24,0,2,4110,A61,A75,3,A93,A101,4,A124,23,A141,A151,2,A173,2,A191,A201
0,6,4,2,3384,A61,A73,1,A91,A101,4,A121,44,A143,A151,1,A174,1,A192,A201
1,13,2,3,2101,A61,A72,2,A92,A103,4,A122,23,A143,A152,1,A172,1,A191,A201
0,15,2,4,1275,A65,A73,4,A92,A101,2,A123,24,A143,A151,1,A173,1,A191,A201
0,24,2,2,4169,A61,A73,4,A93,A101,4,A122,28,A143,A152,1,A173,1,A191,A201
1,10,2,2,1521,A61,A73,4,A91,A101,2,A123,31,A143,A152,1,A172,1,A191,A201
1,24,4,6,5743,A61,A72,2,A92,A101,4,A124,24,A143,A153,2,A173,1,A192,A201
0,21,2,2,3599,A61,A74,1,A92,A101,4,A123,26,A143,A151,1,A172,1,A191,A201
1,18,2,3,3213,A63,A72,1,A94,A101,3,A121,25,A143,A151,1,A173,1,A191,A201
1,18,2,9,4439,A61,A75,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201
2,10,2,0,3949,A61,A72,1,A93,A103,1,A122,37,A143,A152,1,A172,2,A191,A201
3,15,4,3,1459,A61,A73,4,A92,A101,2,A123,43,A143,A152,1,A172,1,A191,A201
1,13,4,3,882,A61,A72,4,A93,A103,4,A121,23,A143,A152,2,A173,1,A191,A201
1,24,2,3,3758,A63,A71,1,A92,A101,4,A124,23,A143,A151,1,A171,1,A191,A201
3,6,3,9,1743,A62,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,1,A191,A201
1,9,4,6,1136,A64,A75,4,A93,A101,3,A124,32,A143,A153,2,A173,2,A191,A201
3,9,2,4,1236,A61,A72,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201
1,9,2,2,959,A61,A73,1,A92,A101,2,A123,29,A143,A152,1,A173,1,A191,A202
3,18,4,1,3229,A65,A71,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201
0,12,0,3,6199,A61,A73,4,A93,A101,2,A122,28,A143,A151,2,A173,1,A192,A201
3,10,2,6,727,A63,A75,4,A93,A101,4,A124,46,A143,A153,1,A173,1,A192,A201
1,24,2,0,1246,A61,A72,4,A93,A101,2,A121,23,A142,A152,1,A172,1,A191,A201
3,12,4,3,2331,A65,A75,1,A93,A102,4,A121,49,A143,A152,1,A173,1,A192,A201
3,36,3,3,4463,A61,A73,4,A93,A101,2,A123,26,A143,A152,2,A174,1,A192,A201
3,12,2,3,776,A61,A73,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201
0,30,2,2,2406,A61,A74,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201
1,18,2,6,1239,A65,A73,4,A93,A101,4,A124,61,A143,A153,1,A173,1,A191,A201
2,12,2,3,3399,A65,A75,2,A93,A101,3,A123,37,A143,A152,1,A174,1,A191,A201
2,12,3,0,2247,A61,A73,2,A92,A101,2,A123,36,A142,A152,2,A173,1,A192,A201
3,6,2,2,1766,A61,A73,1,A94,A101,2,A122,21,A143,A151,1,A173,1,A191,A201
0,18,2,2,2473,A61,A71,4,A93,A101,1,A123,25,A143,A152,1,A171,1,A191,A201
3,12,2,9,1542,A61,A74,2,A93,A101,4,A123,36,A143,A152,1,A173,1,A192,A201
3,18,4,1,3850,A61,A74,3,A93,A101,1,A123,27,A143,A152,2,A173,1,A191,A201
0,18,2,2,3650,A61,A72,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201
0,36,2,2,3446,A61,A75,4,A93,A101,2,A123,42,A143,A152,1,A173,2,A191,A201
1,18,2,2,3001,A61,A74,2,A92,A101,4,A121,40,A143,A151,1,A173,1,A191,A201
3,36,2,0,3079,A65,A73,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201
3,18,4,3,6070,A61,A75,3,A93,A101,4,A123,33,A143,A152,2,A173,1,A192,A201
3,10,4,2,2146,A61,A72,1,A92,A101,3,A121,23,A143,A151,2,A173,1,A191,A201
3,60,4,0,13756,A65,A75,2,A93,A101,4,A124,63,A141,A153,1,A174,1,A192,A201
1,60,1,10,14782,A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201
0,48,1,9,7685,A61,A74,2,A92,A103,4,A123,37,A143,A151,1,A173,1,A191,A201
3,18,3,3,2320,A61,A71,2,A94,A101,3,A121,34,A143,A152,2,A173,1,A191,A201
3,7,3,3,846,A65,A75,3,A93,A101,4,A124,36,A143,A153,1,A173,1,A191,A201
1,36,2,0,14318,A61,A75,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201
3,6,4,0,362,A62,A73,4,A92,A101,4,A123,52,A143,A152,2,A172,1,A191,A201
0,20,2,2,2212,A65,A74,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A192,A201
1,18,2,1,12976,A61,A71,3,A92,A101,4,A124,38,A143,A153,1,A174,1,A192,A201
3,22,2,0,1283,A65,A74,4,A92,A101,4,A122,25,A143,A151,1,A173,1,A191,A201
2,12,2,0,1330,A61,A72,4,A93,A101,1,A121,26,A143,A152,1,A173,1,A191,A201
3,30,3,9,4272,A62,A73,2,A93,A101,2,A122,26,A143,A152,2,A172,1,A191,A201
3,18,4,3,2238,A61,A73,2,A92,A101,1,A123,25,A143,A152,2,A173,1,A191,A201
3,18,2,3,1126,A65,A72,4,A92,A101,2,A121,21,A143,A151,1,A173,1,A192,A201
1,18,4,2,7374,A61,A71,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201
1,15,4,9,2326,A63,A73,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201
3,9,2,9,1449,A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201
3,18,2,0,1820,A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201
1,12,2,2,983,A64,A72,1,A92,A101,4,A121,19,A143,A151,1,A172,1,A191,A201
0,36,2,0,3249,A61,A74,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201
0,6,4,3,1957,A61,A74,1,A92,A101,4,A123,31,A143,A152,1,A173,1,A191,A201
3,9,4,2,2406,A61,A71,2,A93,A101,3,A123,31,A143,A152,1,A174,1,A191,A201
1,39,3,6,11760,A62,A74,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201
0,12,2,2,2578,A61,A71,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A191,A201
0,36,4,2,2348,A61,A73,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201
1,12,2,0,1223,A61,A75,1,A91,A101,1,A121,46,A143,A151,2,A173,1,A191,A201
3,24,4,3,1516,A64,A73,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201
3,18,2,3,1473,A61,A72,3,A94,A101,4,A121,39,A143,A152,1,A173,1,A192,A201
1,18,4,9,1887,A65,A73,4,A94,A101,4,A121,28,A141,A152,2,A173,1,A191,A201
3,24,3,9,8648,A61,A72,2,A93,A101,2,A123,27,A141,A152,2,A173,1,A192,A201
3,14,3,0,802,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201
1,18,3,0,2899,A65,A75,4,A93,A101,4,A123,43,A143,A152,1,A173,2,A191,A201
1,24,2,3,2039,A61,A72,1,A94,A101,1,A122,22,A143,A152,1,A173,1,A192,A201
3,24,4,1,2197,A65,A74,4,A93,A101,4,A123,43,A143,A152,2,A173,2,A192,A201
0,15,2,3,1053,A61,A72,4,A94,A101,2,A121,27,A143,A152,1,A173,1,A191,A202
3,24,2,3,3235,A63,A75,3,A91,A101,2,A123,26,A143,A152,1,A174,1,A192,A201
2,12,4,0,939,A63,A74,4,A94,A101,2,A121,28,A143,A152,3,A173,1,A192,A201
1,24,2,3,1967,A61,A75,4,A92,A101,4,A123,20,A143,A152,1,A173,1,A192,A201
3,33,4,1,7253,A61,A74,3,A93,A101,2,A123,35,A143,A152,2,A174,1,A192,A201
3,12,4,9,2292,A61,A71,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201
3,10,2,0,1597,A63,A73,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202
0,24,2,0,1381,A65,A73,4,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A201
3,36,4,1,5842,A61,A75,2,A93,A101,2,A122,35,A143,A152,2,A173,2,A192,A201
0,12,2,0,2579,A61,A72,4,A93,A101,1,A121,33,A143,A152,1,A172,2,A191,A201
0,18,3,6,8471,A65,A73,1,A92,A101,2,A123,23,A143,A151,2,A173,1,A192,A201
3,21,2,0,2782,A63,A74,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201
1,18,2,0,1042,A65,A73,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201
3,15,2,0,3186,A64,A74,2,A92,A101,3,A123,20,A143,A151,1,A173,1,A191,A201
1,12,2,1,2028,A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201
1,12,4,0,958,A61,A74,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201
3,21,3,2,1591,A62,A74,4,A93,A101,3,A121,34,A143,A152,2,A174,1,A191,A201
1,12,2,2,2762,A65,A75,1,A92,A101,2,A122,25,A141,A152,1,A173,1,A192,A201
1,18,2,1,2779,A61,A73,1,A94,A101,3,A123,21,A143,A151,1,A173,1,A192,A201
3,28,4,3,2743,A61,A75,4,A93,A101,2,A123,29,A143,A152,2,A173,1,A191,A201
3,18,4,3,1149,A64,A73,4,A93,A101,3,A121,46,A143,A152,2,A173,1,A191,A201
3,9,2,2,1313,A61,A75,1,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201
0,18,4,5,1190,A61,A71,2,A92,A101,4,A124,55,A143,A153,3,A171,2,A191,A201
3,5,2,9,3448,A61,A74,1,A93,A101,4,A121,74,A143,A152,1,A172,1,A191,A201
1,24,2,10,11328,A61,A73,2,A93,A102,3,A123,29,A141,A152,2,A174,1,A192,A201
0,6,4,2,1872,A61,A71,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201
3,24,4,5,2058,A61,A73,4,A91,A101,2,A121,33,A143,A152,2,A173,1,A192,A201
0,9,2,2,2136,A61,A73,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A191,A201
1,12,2,3,1484,A65,A73,2,A94,A101,1,A121,25,A143,A152,1,A173,1,A192,A201
3,6,2,5,660,A63,A74,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201
3,24,4,0,1287,A64,A75,4,A92,A101,4,A121,37,A143,A152,2,A173,1,A192,A201
0,42,4,5,3394,A61,A71,4,A93,A102,4,A123,65,A143,A152,2,A171,1,A191,A201
2,12,1,9,609,A61,A72,4,A92,A101,1,A121,26,A143,A152,1,A171,1,A191,A201
3,12,2,0,1884,A61,A75,4,A93,A101,4,A123,39,A143,A152,1,A174,1,A192,A201
0,12,2,2,1620,A61,A73,2,A92,A102,3,A122,30,A143,A152,1,A173,1,A191,A201
1,20,3,10,2629,A61,A73,2,A93,A101,3,A123,29,A141,A152,2,A173,1,A192,A201
3,12,2,6,719,A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201
1,48,4,2,5096,A61,A73,2,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201
3,9,4,6,1244,A65,A75,4,A92,A101,4,A122,41,A143,A151,2,A172,1,A191,A201
0,36,2,0,1842,A61,A72,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201
1,7,2,3,2576,A61,A73,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201
2,12,2,2,1424,A65,A75,3,A92,A101,4,A121,55,A143,A152,1,A174,1,A192,A201
1,15,3,5,1512,A64,A73,3,A94,A101,3,A122,61,A142,A152,2,A173,1,A191,A201
3,36,4,1,11054,A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201
3,6,2,3,518,A61,A73,3,A92,A101,1,A121,29,A143,A152,1,A173,1,A191,A201
3,12,0,2,2759,A61,A75,2,A93,A101,4,A122,34,A143,A152,2,A173,1,A191,A201
3,24,2,1,2670,A61,A75,4,A93,A101,4,A123,35,A143,A152,1,A174,1,A192,A201
0,24,2,0,4817,A61,A74,2,A93,A102,3,A122,31,A143,A152,1,A173,1,A192,A201
3,24,2,1,2679,A61,A72,4,A92,A101,1,A124,29,A143,A152,1,A174,1,A192,A201
0,11,4,0,3905,A61,A73,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201
0,12,2,1,3386,A61,A75,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201
0,6,2,4,343,A61,A72,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201
3,18,2,3,4594,A61,A72,3,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201
0,36,2,2,3620,A61,A73,1,A93,A103,2,A122,37,A143,A152,1,A173,2,A191,A201
0,15,2,0,1721,A61,A72,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201
1,12,2,2,3017,A61,A72,3,A92,A101,1,A121,34,A143,A151,1,A174,1,A191,A201
1,12,2,8,754,A65,A75,4,A93,A101,4,A122,38,A143,A152,2,A173,1,A191,A201
3,18,2,9,1950,A61,A74,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201
0,24,2,1,2924,A61,A73,3,A93,A103,4,A124,63,A141,A152,1,A173,2,A192,A201
0,24,3,3,1659,A61,A72,4,A92,A101,2,A123,29,A143,A151,1,A172,1,A192,A201
3,48,3,3,7238,A65,A75,3,A93,A101,3,A123,32,A141,A152,2,A173,2,A191,A201
3,33,3,9,2764,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A192,A201
3,24,3,1,4679,A61,A74,3,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201
1,24,2,3,3092,A62,A72,3,A94,A101,2,A123,22,A143,A151,1,A173,1,A192,A201
0,6,2,6,448,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201
0,9,2,0,654,A61,A73,4,A93,A101,3,A123,28,A143,A152,1,A172,1,A191,A201
3,6,2,8,1238,A65,A71,4,A93,A101,4,A122,36,A143,A152,1,A174,2,A192,A201
1,18,4,3,1245,A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201
0,18,0,2,3114,A61,A72,1,A92,A101,4,A122,26,A143,A151,1,A173,1,A191,A201
3,39,2,1,2569,A63,A73,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201
2,24,2,3,5152,A61,A74,4,A93,A101,2,A123,25,A141,A152,1,A173,1,A191,A201
1,12,2,9,1037,A62,A74,3,A93,A101,4,A121,39,A143,A152,1,A172,1,A191,A201
0,15,4,2,1478,A61,A75,4,A93,A101,4,A123,44,A143,A152,2,A173,2,A192,A201
1,12,4,3,3573,A61,A73,1,A92,A101,1,A121,23,A143,A152,1,A172,1,A191,A201
1,24,2,0,1201,A61,A72,4,A93,A101,1,A122,26,A143,A152,1,A173,1,A191,A201
0,30,2,2,3622,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A173,1,A192,A201
3,15,3,2,960,A64,A74,3,A92,A101,2,A122,30,A143,A152,2,A173,1,A191,A201
3,12,4,0,1163,A63,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201
1,6,3,0,1209,A61,A71,4,A93,A101,4,A122,47,A143,A152,1,A174,1,A192,A201
3,12,2,3,3077,A61,A73,2,A93,A101,4,A123,52,A143,A152,1,A173,1,A192,A201
3,24,2,0,3757,A61,A75,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201
3,10,2,0,1418,A62,A73,3,A93,A101,2,A121,35,A143,A151,1,A172,1,A191,A202
3,6,2,0,3518,A61,A73,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201
3,12,4,3,1934,A61,A75,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201
1,27,0,9,8318,A61,A75,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201
3,6,4,3,1237,A62,A73,1,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201
1,6,2,3,368,A65,A75,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201
0,12,4,0,2122,A61,A73,3,A93,A101,2,A121,39,A143,A151,2,A172,2,A191,A202
0,24,2,2,2996,A65,A73,2,A94,A101,4,A123,20,A143,A152,1,A173,1,A191,A201
1,36,2,2,9034,A62,A72,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201
3,24,4,2,1585,A61,A74,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201
1,18,2,3,1301,A61,A75,4,A94,A103,2,A121,32,A143,A152,1,A172,1,A191,A201
